Designator,Footprint,Quantity,Value,LCSC Part #
C201,1206,1,4.7u,
C202,1206,1,4.7u,
C203,1206,1,4.7u,
C204,0805,1,1u,
C205,0805,1,1u,
C206,2220,1,2.2u,
C207,0805,1,1u,
C301,0805,1,100n,
C302,0805,1,100n,
C303,0805,1,100n,
C304,0805,1,100n,
C305,0805,1,100n,
C306,0805,1,100n,
C307,0805,1,100n,
C308,0805,1,150p,
C309,0805,1,150p,
C310,0805,1,100n,
C311,0805,1,100n,
C312,0805,1,10n,
C313,0805,1,1u,
C314,0805,1,1n,
C315,0805,1,10n,
C401,0805,1,100n,
C402,0805,1,100n,
C403,CP_Radial_D12.5mm_P5.00mm,1,470u,
C404,0805,1,100n,
"C405, C407, C410",CP_Radial_D5.0mm_P2.50mm,3,470u,
C406,0805,1,100n,
C408,0805,1,100n,
C409,0805,1,100n,
"D201, D202",D_MiniMELF,2,LL4148,
D301,0805,1,MBR0530,
D302,0805,1,MBR0530,
D303,0805,1,MBR0530,
D304,0805,1,MBR0530,
D305,0805,1,LL4148,
D306,0805,1,LL4148,
D307,0805,1,MBR0530,
D308,0805,1,MBR0530,
D309,0805,1,LED,
D310,0805,1,LED,
D311,0805,1,LL4148,
D401,0805,1,LED,
D402,0805,1,LED,
D403,0805,1,LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J201, J203, J301, J303, J304, J306, J401, J403",PinHeader_1x01_P2.54mm_Vertical,8,Conn_01x01_Female,
"J202, J302, J305, J402","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",4,Screw_Terminal_01x02,
J307,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
"J308, J309, J310, J404",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02_Male,
L301,L_Radial_D7.5mm_P5.00mm_Fastron_07P,1,L_Trim,
"Q201, Q203",TO-252-2,2,Q_PMOS_GDS,
"Q202, Q204",TO-252-2,2,Q_NMOS_GDS,
R201,0805,1,1k,
R202,0805,1,1k,
R203,0805,1,15,
R301,0805,1,1k,
R302,0805,1,1k,
R303,2010,1,5.1,
R304,0805,1,1k,
R305,R_Axial_Power_L25.0mm_W9.0mm_P27.94mm,1,51,
R306,2010,1,5.1,
R307,0805,1,100k,
R308,0805,1,1k,
R309,0805,1,1k,
R310,0805,1,1k,
R311,0805,1,1k,
R312,0805,1,470,
R313,0805,1,1k,
R314,0805,1,470,
R315,0805,1,470,
R316,0805,1,470,
R317,0805,1,470,
R318,0805,1,100k,
R319,0805,1,470,
R401,0805,1,470,
R402,0805,1,470,
R403,0805,1,470,
RV301,Potentiometer_Bourns_3266Z_Horizontal,1,10k,
"TP301, TP302, TP303, TP304, TP305, TP306",TestPoint_Loop_D2.50mm_Drill1.0mm,6,TestPoint,
U201,SOIC-8_3.9x4.9mm_P1.27mm,1,UCC27524,
"U301, U302",PLT135,2,Optical_reciver,
U303,SO-14_3.9x8.65mm_P1.27mm,1,74HC14,
U304,SO-8_3.9x4.9mm_P1.27mm,1,LM311,
U305,SO-14_3.9x8.65mm_P1.27mm,1,74HC74,
U306,SO-14_3.9x8.65mm_P1.27mm,1,74LS00,
U307,SOT-23-5,1,TLV7031DBV,
U401,TO-252-2,1,L7812,
U402,TO-252-2,1,L7809,
U403,TO-252-2,1,L7805,
